Número de registro,Tipo de registro,Razón social,NIF,NIMA,Tipo de vía,Nombre de la vía,Código de vía,Tipo de número,Número,Escalera,Piso,Puerta,Polígono industrial,Provincia,Código de provincia,Municipio,Código de municipio,Código postal,Teléfono,Fax,Alcance de la gestión,Alcance de la gestión normalizado,Residuos de Construcción y Demolición,Número de proceso,Descripción del proceso,Proceso de tratamiento normalizado,Código LER de residuo,Descripción del residuo,Tipo de residuo normalizado
13G04A2800045303A,Valorización de materiales naturales excavados,"Padecasa Obras y Servicios, S.A.",A05010285,2800132107,Avenida,Provisional Los Berrocales,,P,S/N,,,,,Madrid,28,Madrid,079,28031,,,Valorización de materiales naturales excavados para su utilización en operaciones de relleno y obras distintas a aquellas en las que se generaron,ValorizacionDeMaterialesNaturalesExcavadosParaSuUtilizacionEnOperacionesDeRellenoYObrasDistintasAAquellasEnLasQueSeGeneraron,false,1,Materiales naturales excavados,MaterialesNaturalesExcavados,170504,Tierra y piedras distintas de las especificadas en el código 170503,TierraYPiedrasDistintasDeLasEspecificadasEnElCodigo170503
AAI/MD/G16/08038,Autorización de gestión de residuos no peligrosos,"Roca Sanitario, S.A.",A08037392,2800004911,Calle,Camarmilla,005A0133,P,,,,,,Madrid,28,Alcalá de Henares,005,28806,918878800,913504954,Valorización de residuos metálicos en la fabricación de bañeras de fundición,ValorizacionDeResiduosMetalicosEnLaFabricacionDeBanerasDeFundicion,false,1,Fabricación de bañeras de fundición,FabricacionDeBanerasDeFundicion,160117,Metales férreos,MetalesFerreos
AAI/MD/G16/08038,Autorización de gestión de residuos no peligrosos,"Roca Sanitario, S.A.",A08037392,2800004911,Calle,Camarmilla,005A0133,P,,,,,,Madrid,28,Alcalá de Henares,005,28806,918878800,913504954,Valorización de residuos metálicos en la fabricación de bañeras de fundición,ValorizacionDeResiduosMetalicosEnLaFabricacionDeBanerasDeFundicion,false,1,Fabricación de bañeras de fundición,FabricacionDeBanerasDeFundicion,100903,Escorias de horno,EscoriasDeHorno
AAI/MD/G16/08038,Autorización de gestión de residuos no peligrosos,"Roca Sanitario, S.A.",A08037392,2800004911,Calle,Camarmilla,005A0133,P,,,,,,Madrid,28,Alcalá de Henares,005,28806,918878800,913504954,Valorización de residuos metálicos en la fabricación de bañeras de fundición,ValorizacionDeResiduosMetalicosEnLaFabricacionDeBanerasDeFundicion,false,1,Fabricación de bañeras de fundición,FabricacionDeBanerasDeFundicion,191202,Metales férreos,MetalesFerreos
AAI/MD/G16/08038,Autorización de gestión de residuos no peligrosos,"Roca Sanitario, S.A.",A08037392,2800004911,Calle,Camarmilla,005A0133,P,,,,,,Madrid,28,Alcalá de Henares,005,28806,918878800,913504954,Valorización de residuos metálicos en la fabricación de bañeras de fundición,ValorizacionDeResiduosMetalicosEnLaFabricacionDeBanerasDeFundicion,false,1,Fabricación de bañeras de fundición,FabricacionDeBanerasDeFundicion,200140,Metales,Metales
AAI/MD/G16/08038,Autorización de gestión de residuos no peligrosos,"Roca Sanitario, S.A.",A08037392,2800004911,Calle,Camarmilla,005A0133,P,,,,,,Madrid,28,Alcalá de Henares,005,28806,918878800,913504954,Valorización de residuos metálicos en la fabricación de bañeras de fundición,ValorizacionDeResiduosMetalicosEnLaFabricacionDeBanerasDeFundicion,false,1,Fabricación de bañeras de fundición,FabricacionDeBanerasDeFundicion,170405,Hierro y acero,HierroYAcero
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,1,Clasificación de residuos no peligrosos,ClasificacionDeResiduosNoPeligrosos,200301,Mezclas de residuos municipales,MezclasDeResiduosMunicipales
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,200307,Residuos voluminosos,ResiduosVoluminosos
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,200138,Madera distinta de la especificada en el código 200137,MaderaDistintaDeLaEspecificadaEnElCodigo200137
13G04A1400037921E,Autorización de gestión de residuos no peligrosos,"Tecnologías del Medio Ambiente, S.A.",A08948143,2800023654,Calle,Papiro,05810246,P,4-6,,,,El Campillo,Madrid,28,Fuenlabrada,058,28946,616925592,916423167,Clasificación de residuos no peligrosos y trituración de madera,ClasificacionDeResiduosNoPeligrososYTrituracionDeMadera,false,2,Trituración de madera,TrituracionDeMadera,191207,Madera distinta de la especificada en el código 191206,MaderaDistintaDeLaEspecificadaEnElCodigo191206
