Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
1,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.399762223566,-3.547023187299,453579.583,4472272.06,CS_194_072
2,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.399762223566,-3.547023187299,453579.583,4472272.06,CS_194_072
3,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.400115364603,-3.546815180757,453597.477,4472311.149,CS_194_010
4,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 219",El Cañaveral,Vicálvaro,40.400115364603,-3.546815180757,453597.477,4472311.149,CS_194_010
5,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
6,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
7,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
8,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
9,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 231",El Cañaveral,Vicálvaro,40.40017528208,-3.546815630198,453597.48,4472317.8,CL_194_006
10,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399123058557,-3.546806999013,453597.49,4472201,CS_194_048
11,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399123058557,-3.546806999013,453597.49,4472201,CS_194_048
12,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402419076923,-3.548555137804,453451.411,4472567.773,CS_194_050
13,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Suertes de la Villa, 14",El Cañaveral,Vicálvaro,40.402419076923,-3.548555137804,453451.411,4472567.773,CS_194_050
14,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405551141259,-3.550270211456,453308.039,4472916.333,CL_194_053
15,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405551141259,-3.550270211456,453308.039,4472916.333,CL_194_053
16,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Campo, 31",El Cañaveral,Vicálvaro,40.405551141259,-3.550270211456,453308.039,4472916.333,CL_194_053
17,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CL_194_067
18,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CL_194_067
19,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Cerro del Monte, 111",El Cañaveral,Vicálvaro,40.407408847419,-3.549364077435,453386.209,4473122.058,CL_194_067
20,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.403076612,-3.545640810349,453699.163,4472639.228,CS_194_058
21,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Cuesta del Villorio, 50",El Cañaveral,Vicálvaro,40.403076612,-3.545640810349,453699.163,4472639.228,CS_194_058
22,Restos,Restos,R 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
23,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
24,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
25,Orgánica,Organica,O 2750 CL,Carga lateral,2,"Calle Ferenc Puskas, 201",El Cañaveral,Vicálvaro,40.399168633973,-3.546807355962,453597.491,4472206.059,CL_194_044
26,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397334338807,-3.54851809847,453451.052,4472003.354,CS_194_047
27,Vidrio,Vidrio,V 3100 CS,Carga superior,2,"Calle Alcalde Andrés Madrid Dávila, 50",El Cañaveral,Vicálvaro,40.397334338807,-3.54851809847,453451.052,4472003.354,CS_194_047
